"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","185,393","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","240,188","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","240,892","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","218,789","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","152,546","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","159,216","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","34,184","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","123,556","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","161,727","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","188,410","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","78,500","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","SCOTT","163","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","101,289","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","BUTLER","023","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","171,930","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","CERRO GORDO","033","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","204,801","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","FLOYD","067","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","196,931","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","FRANKLIN","069","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","205,873","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","HANCOCK","081","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","233,135","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","HUMBOLDT","091","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","157,828","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","KOSSUTH","109","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","412,705","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","MITCHELL","131","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","168,866","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","WINNEBAGO","189","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","132,419","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","WORTH","195","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","99,194","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","WRIGHT","197","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","258,364","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","ALLAMAKEE","005","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","14,383","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","BLACK HAWK","013","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","182,167","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","BREMER","017","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","175,699","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","BUCHANAN","019","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","242,197","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","CHICKASAW","037","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","189,781","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","CLAYTON","043","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","104,071","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","DELAWARE","055","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","195,971","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","DUBUQUE","061","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","89,954","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","FAYETTE","065","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","240,985","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","HOWARD","089","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","147,895","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","WINNESHIEK","191","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","105,165","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","BUENA VISTA","021","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","186,756","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","CHEROKEE","035","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","146,852","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","CLAY","041","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","176,620","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","DICKINSON","059","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","109,415","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","EMMET","063","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","142,782","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","LYON","119","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","132,708","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","O BRIEN","141","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","172,009","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","OSCEOLA","143","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","120,825","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","PALO ALTO","147","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","241,040","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","PLYMOUTH","149","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","97,243","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","POCAHONTAS","151","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","234,114","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","SIOUX","167","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","180,443","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","APPANOOSE","007","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","10,799","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","CLARKE","039","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","9,006","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","DECATUR","053","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","18,143","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","LUCAS","117","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","7,117","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","MADISON","121","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","95,129","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","MARION","125","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","82,833","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","MONROE","135","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","17,430","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","RINGGOLD","159","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","39,694","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","UNION","175","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","78,251","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","WARREN","181","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","61,327","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","WAYNE","185","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","20,591","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","DAVIS","051","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","24,775","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","DES MOINES","057","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","50,920","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","HENRY","087","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","78,330","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","JEFFERSON","101","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","55,208","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","KEOKUK","107","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","105,469","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","LEE","111","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","34,991","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","LOUISA","115","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","66,836","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","MAHASKA","123","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","146,088","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","VAN BUREN","177","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","18,834","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","WAPELLO","179","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","42,101","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","WASHINGTON","183","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","134,574","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","ADAIR","001","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","155,069","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","ADAMS","003","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","119,827","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","CASS","029","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","111,272","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","FREMONT","071","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","22,441","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","MILLS","129","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","17,335","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","MONTGOMERY","137","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","88,255","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","PAGE","145","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","136,450","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","POTTAWATTAMIE","155","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","79,660","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","TAYLOR","173","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","121,446","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","AUDUBON","009","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","96,437","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","CALHOUN","025","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","190,463","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","CARROLL","027","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","187,147","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","CRAWFORD","047","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","72,168","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","GREENE","073","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","204,952","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","GUTHRIE","077","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","92,892","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","HARRISON","085","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","16,271","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","IDA","093","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","57,800","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","MONONA","133","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","5,463","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","SAC","161","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","187,606","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","SHELBY","165","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","69,693","10.5"
"CENSUS","2022","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","WOODBURY","193","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","39,004","10.5"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","202,657","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","189,990","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","243,791","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","230,856","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","250,862","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","196,382","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","195,764","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","99,075","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","188,233","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","STORY","169","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","209,445","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","217,825","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","315,202","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","310,129","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","188,018","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","187,346","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","166,420","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","36,908","17.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","PRACTICES","PRACTICES, LAND USE, DRAINED BY TILE - ACRES","TOTAL","NOT SPECIFIED","148,546","17.1"
